Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;Tijuca;3;1;0;115;2400.0;524.0;110.0;20.87;Apartamento
Apartamento;Tijuca;2;0;0;70;1800.0;939.0;63.0;25.71;Apartamento
Apartamento;Tijuca;3;0;1;85;1500.0;763.0;137.0;17.65;Apartamento
Apartamento;Tijuca;2;1;0;99;1800.0;660.0;141.0;18.18;Apartamento
Apartamento;Tijuca;1;1;0;54;1600.0;690.0;0.0;29.63;Apartamento
Apartamento;Tijuca;2;0;0;70;1700.0;690.0;80.0;24.29;Apartamento
Apartamento;Tijuca;2;0;0;75;1800.0;574.0;24.0;24.0;Apartamento
Apartamento;Tijuca;3;1;0;100;2000.0;800.0;0.0;20.0;Apartamento
Apartamento;Tijuca;3;1;1;100;3000.0;880.0;131.0;30.0;Apartamento
Apartamento;Tijuca;2;0;0;84;1700.0;690.0;0.0;20.24;Apartamento
Apartamento;Tijuca;2;1;1;80;2200.0;990.0;104.0;27.5;Apartamento
Apartamento;Tijuca;3;0;0;80;1300.0;400.0;172.0;16.25;Apartamento
Apartamento;Tijuca;3;1;1;84;2350.0;900.0;0.0;27.98;Apartamento
Apartamento;Tijuca;3;1;1;110;1600.0;900.0;1474.0;14.55;Apartamento
Apartamento;Tijuca;2;0;1;61;1500.0;515.0;63.0;24.59;Apartamento
Apartamento;Tijuca;2;0;0;60;1100.0;625.0;485.0;18.33;Apartamento
Apartamento;Tijuca;3;0;0;90;1800.0;400.0;70.0;20.0;Apartamento
Apartamento;Tijuca;1;1;0;35;900.0;335.0;20.0;25.71;Apartamento
Apartamento;Tijuca;3;1;1;120;2000.0;1000.0;140.0;16.67;Apartamento
Apartamento;Tijuca;3;0;0;125;1800.0;630.0;147.0;14.4;Apartamento
Apartamento;Tijuca;3;2;1;185;3400.0;1495.0;280.0;18.38;Apartamento
Apartamento;Tijuca;2;1;0;88;1200.0;640.0;0.0;13.64;Apartamento
Apartamento;Tijuca;3;0;0;80;1300.0;748.0;75.0;16.25;Apartamento
Apartamento;Tijuca;2;0;0;70;1900.0;250.0;60.0;27.14;Apartamento
Apartamento;Tijuca;1;1;1;40;1000.0;594.0;0.0;25.0;Apartamento
Apartamento;Tijuca;1;0;0;58;1100.0;408.0;0.0;18.97;Apartamento
Apartamento;Tijuca;3;1;1;149;2500.0;1100.0;0.0;16.78;Apartamento
Apartamento;Tijuca;3;1;0;100;2300.0;766.0;0.0;23.0;Apartamento
Apartamento;Tijuca;2;1;1;90;1900.0;1050.0;108.0;21.11;Apartamento
Apartamento;Tijuca;2;0;0;75;1350.0;400.0;21.0;18.0;Apartamento
Apartamento;Tijuca;2;0;0;66;1300.0;645.0;25.0;19.7;Apartamento
Apartamento;Tijuca;1;0;1;33;900.0;460.0;25.0;27.27;Apartamento
Apartamento;Tijuca;2;1;1;85;3200.0;656.0;181.0;37.65;Apartamento
Apartamento;Tijuca;1;1;0;50;1650.0;577.0;453.0;33.0;Apartamento
Apartamento;Tijuca;3;0;1;100;1400.0;400.0;0.0;14.0;Apartamento
Apartamento;Tijuca;2;2;1;95;2500.0;700.0;230.0;26.32;Apartamento
Apartamento;Tijuca;4;2;1;188;2000.0;2000.0;309.0;10.64;Apartamento
Apartamento;Tijuca;2;1;0;70;1700.0;528.0;92.0;24.29;Apartamento
Apartamento;Tijuca;2;1;0;71;1500.0;660.0;555.0;21.13;Apartamento
Apartamento;Tijuca;2;0;0;60;1450.0;250.0;47.0;24.17;Apartamento
Apartamento;Tijuca;2;1;1;100;2200.0;994.0;193.0;22.0;Apartamento
Apartamento;Tijuca;3;2;1;132;2200.0;1100.0;0.0;16.67;Apartamento
Apartamento;Tijuca;2;1;1;89;1800.0;914.0;137.0;20.22;Apartamento
Apartamento;Tijuca;2;0;0;61;1200.0;500.0;0.0;19.67;Apartamento
Apartamento;Tijuca;3;1;1;170;3000.0;1200.0;200.0;17.65;Apartamento
Apartamento;Tijuca;2;1;1;80;2100.0;750.0;120.0;26.25;Apartamento
Apartamento;Tijuca;3;1;0;80;1500.0;450.0;0.0;18.75;Apartamento
Apartamento;Tijuca;2;0;1;84;2100.0;1150.0;408.0;25.0;Apartamento
Apartamento;Tijuca;3;1;0;92;1900.0;655.0;0.0;20.65;Apartamento
Apartamento;Tijuca;3;1;1;95;2300.0;1400.0;118.0;24.21;Apartamento
